epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
89,1039.92,2.18192,2.3455,2.81728,0.40074,0.56923,0.42415,0.21671,1.78994,2.47505,2.52866,0.0002576,0.0002576,0.0002576
90,1051.65,2.13167,2.22404,2.63699,0.37515,0.53846,0.43729,0.2259,1.77265,2.32592,2.51752,0.0002378,0.0002378,0.0002378
91,1063.51,1.89978,3.05918,2.76958,0.39856,0.56923,0.45789,0.24196,1.74838,2.18622,2.51242,0.000218,0.000218,0.000218
92,1075.85,1.76386,2.97414,2.51144,0.41916,0.63077,0.47714,0.25995,1.73189,2.11606,2.51281,0.0001982,0.0001982,0.0001982
93,1087.7,2.08905,3.39991,2.80757,0.41916,0.63077,0.47714,0.25995,1.73189,2.11606,2.51281,0.0001784,0.0001784,0.0001784
94,1100.03,2.30765,3.46499,3.13694,0.42025,0.64615,0.47902,0.26258,1.73715,2.06379,2.5262,0.0001586,0.0001586,0.0001586
95,1111.8,1.89481,2.98865,2.98115,0.41673,0.6,0.47301,0.25802,1.76237,2.05312,2.54329,0.0001388,0.0001388,0.0001388
96,1123.64,1.76994,2.56943,2.55145,0.41307,0.58462,0.49459,0.26843,1.78126,2.04054,2.56151,0.000119,0.000119,0.000119
97,1136.19,1.87022,2.55403,2.72402,0.41307,0.58462,0.49459,0.26843,1.78126,2.04054,2.56151,9.92e-05,9.92e-05,9.92e-05
98,1149.09,1.83596,2.95545,3.10802,0.42232,0.6,0.50633,0.2765,1.78926,2.03692,2.56365,7.94e-05,7.94e-05,7.94e-05
99,1160.79,1.8219,2.83298,2.94859,0.46279,0.58462,0.52042,0.28454,1.78642,2.02596,2.54923,5.96e-05,5.96e-05,5.96e-05
100,1171.85,2.09351,2.83328,3.01339,0.50774,0.58462,0.51023,0.2787,1.7703,2.03915,2.52298,3.98e-05,3.98e-05,3.98e-05
